2025-11-26 11:37:42,322 -- Module:columntransformer_base.py -- ColTransPD.transform() -- INFO:X_t shape: (14851, 8), done
2025-11-26 11:39:28,965 -- Module:columntransformer_base.py -- ColTransPD.fit() -- INFO:Starting fit, X of shape: (14851, 6)
2025-11-26 11:39:28,966 -- Module:columntransformer_base.py -- ColTransPD.transform() -- INFO:Starting transform, X of shape: (14851, 6)
2025-11-26 11:39:29,085 -- Module:columntransformer_base.py -- ColTransPD.transform() -- INFO:X_t shape: (14851, 7), done
2025-11-26 11:40:32,406 -- Module:columntransformer_base.py -- ColTransPD.fit() -- INFO:Starting fit, X of shape: (14851, 6)
2025-11-26 11:40:32,407 -- Module:columntransformer_base.py -- ColTransPD.transform() -- INFO:Starting transform, X of shape: (14851, 6)
2025-11-26 11:40:41,800 -- Module:columntransformer_base.py -- ColTransPD.fit() -- INFO:Starting fit, X of shape: (14851, 6)
2025-11-26 11:40:41,800 -- Module:columntransformer_base.py -- ColTransPD.transform() -- INFO:Starting transform, X of shape: (14851, 6)
2025-11-26 11:41:06,554 -- Module:columntransformer_base.py -- ColTransPD.fit() -- INFO:Starting fit, X of shape: (14851, 6)
2025-11-26 11:41:06,554 -- Module:columntransformer_base.py -- ColTransPD.transform() -- INFO:Starting transform, X of shape: (14851, 6)
2025-11-26 11:41:06,659 -- Module:columntransformer_base.py -- ColTransPD.transform() -- INFO:X_t shape: (14851, 7), done
2025-11-26 12:00:11,250 -- Module:columntransformer_base.py -- ColTransCPD.fit() -- INFO:Starting fit, X of shape: (14851, 6)
2025-11-26 12:00:11,250 -- Module:columntransformer_base.py -- ColTransCPD.transform() -- INFO:Starting transform, X of shape: (14851, 6)
2025-11-26 12:00:11,359 -- Module:columntransformer_base.py -- ColTransCPD.transform() -- INFO:X_t shape: (14851, 7), done
2025-11-26 12:00:33,382 -- Module:columntransformer_base.py -- ColTransCPD.fit() -- INFO:Starting fit, X of shape: (14851, 6)
2025-11-26 12:00:33,382 -- Module:columntransformer_base.py -- ColTransCPD.transform() -- INFO:Starting transform, X of shape: (14851, 6)
2025-11-26 12:00:33,490 -- Module:columntransformer_base.py -- ColTransCPD.transform() -- INFO:X_t shape: (14851, 7), done
2025-11-26 12:03:19,914 -- Module:columntransformer_base.py -- ColTransCPD.fit() -- INFO:Starting fit, X of shape: (14851, 6)
2025-11-26 12:03:19,914 -- Module:columntransformer_base.py -- ColTransCPD.transform() -- INFO:Starting transform, X of shape: (14851, 6)
2025-11-26 12:03:20,029 -- Module:columntransformer_base.py -- ColTransCPD.transform() -- INFO:X_t shape: (14851, 7), done
2025-11-26 12:03:28,908 -- Module:columntransformer_base.py -- ColTransCPD.fit() -- INFO:Starting fit, X of shape: (14851, 6)
2025-11-26 12:03:28,908 -- Module:columntransformer_base.py -- ColTransCPD.transform() -- INFO:Starting transform, X of shape: (14851, 6)
2025-11-26 12:03:29,015 -- Module:columntransformer_base.py -- ColTransCPD.transform() -- INFO:X_t shape: (14851, 7), done
2025-11-26 12:03:32,749 -- Module:columntransformer_base.py -- ColTransCPD.fit() -- INFO:Starting fit, X of shape: (14851, 6)
2025-11-26 12:03:32,749 -- Module:columntransformer_base.py -- ColTransCPD.transform() -- INFO:Starting transform, X of shape: (14851, 6)
